"book_id";"title";"location";"availability";"book_status";"book_description";"author";"genre"
1;"The Hobbit";"978-0547928227";"y";"borrowed";"A hobbit goes on an adventure.";"J.R.R. Tolkien";"Fantasy"
2;"1984";"978-0451524935";"y";"available";"A dystopian novel about surveillance.";"George Orwell";"Dystopian"
3;"Pride and Prejudice";"978-0141040349";"y";"unavailable";"A classic romance novel.";"Jane Austen";"Romance"
4;"To Kill a Mockingbird";"978-0061120084";"y";"coming soon";"A novel on racial injustice.";"Harper Lee";"Classic"
5;"The Great Gatsby";"978-0743273565";"y";"available";"A critique of the American Dream.";"F. Scott Fitzgerald";"Classic"
6;"Moby Dick";"978-1503280786";"y";"borrowed";"A story of obsession and revenge.";"Herman Melville";"Adventure"
7;"The Catcher in the Rye";"978-0316769488";"y";"unavailable";"A novel about teenage angst.";"J.D. Salinger";"Classic"
8;"Harry Potter and the Sorcerer's Stone";"978-0590353427";"y";"available";"A young wizard begins his journey.";"J.K. Rowling";"Fantasy"
9;"The Lord of the Rings";"978-0618640157";"y";"borrowed";"An epic fantasy adventure.";"J.R.R. Tolkien";"Fantasy"
10;"The Alchemist";"978-0062315007";"y";"available";"A philosophical novel on destiny.";"Paulo Coelho";"Philosophical"
11;"Brave New World";"978-0060850524";"y";"coming soon";"A dystopian vision of the future.";"Aldous Huxley";"Dystopian"
12;"The Book Thief";"978-0375842207";"y";"available";"A story set in Nazi Germany.";"Markus Zusak";"Historical Fiction"
13;"Crime and Punishment";"978-0486415871";"y";"borrowed";"A psychological thriller.";"Fyodor Dostoevsky";"Classic"
14;"The Chronicles of Narnia";"978-0066238500";"y";"unavailable";"A magical fantasy world.";"C.S. Lewis";"Fantasy"
15;"The Da Vinci Code";"978-0307474278";"y";"available";"A mystery thriller.";"Dan Brown";"Thriller"
16;"The Shining";"978-0307743657";"y";"borrowed";"A horror novel set in a haunted hotel.";"Stephen King";"Horror"
17;"The Kite Runner";"978-1594631931";"y";"available";"A tale of friendship and betrayal.";"Khaled Hosseini";"Drama"
18;"Sapiens";"978-0062316097";"y";"coming soon";"A brief history of humankind.";"Yuval Noah Harari";"Non-Fiction"
19;"Thinking, Fast and Slow";"978-0374533557";"y";"unavailable";"A book on cognitive biases.";"Daniel Kahneman";"Psychology"
20;"War and Peace";"978-1853260629";"y";"available";"A historical epic novel.";"Leo Tolstoy";"Historical Fiction"
